LotFrontage,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MSZoning,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,Heating,CentralAir,Electrical,Functional,PavedDrive,SaleType,SaleCondition,MSSubClass,HeatingQC,KitchenQual,OverallQual,OverallCond,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,GarageType,GarageFinish,GarageQual,GarageCond,Alley,FireplaceQu,GarageYrBlt,Fence
70.0,11200.0,1965.0,1965.0,0.0,906.0,134.0,1040.0,1040.0,0.0,1040.0,5.0,384.0,0.0,0.0,0.0,RL,Reg,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Ex,TA,5,5,1,1,0,3,1,0,1,TA,TA,No,Rec,Unf,Detchd,Unf,TA,TA,NoAlley,NoFireplace,1965.0,NoFence
85.0,11924.0,2005.0,2006.0,286.0,998.0,177.0,1175.0,1182.0,1142.0,2324.0,11.0,736.0,147.0,21.0,0.0,RL,IR1,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,GasA,Y,SBrkr,Typ,Y,New,Partial,60,Ex,Ex,9,5,1,3,0,4,1,2,3,Ex,TA,No,GLQ,Unf,BuiltIn,Fin,TA,TA,NoAlley,Gd,2005.0,NoFence
69.0,12968.0,1962.0,1962.0,0.0,737.0,175.0,912.0,912.0,0.0,912.0,4.0,352.0,140.0,0.0,0.0,RL,IR2,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,TA,TA,5,6,1,1,0,2,1,0,1,TA,TA,No,ALQ,Unf,Detchd,Unf,TA,TA,NoAlley,NoFireplace,1962.0,NoFence
91.0,10652.0,2006.0,2007.0,306.0,0.0,1494.0,1494.0,1494.0,0.0,1494.0,7.0,840.0,160.0,33.0,0.0,RL,IR1,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,GasA,Y,SBrkr,Typ,Y,New,Partial,20,Ex,Gd,7,5,0,2,0,3,1,1,3,Gd,TA,Av,Unf,Unf,Attchd,RFn,TA,TA,NoAlley,Gd,2006.0,NoFence
69.0,10920.0,1960.0,1960.0,212.0,733.0,520.0,1253.0,1253.0,0.0,1253.0,5.0,352.0,0.0,213.0,176.0,RL,IR1,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,TA,TA,6,5,1,1,1,2,1,1,1,TA,TA,No,BLQ,Unf,Attchd,RFn,TA,TA,NoAlley,Fa,1960.0,GdWo
51.0,6120.0,1929.0,2001.0,0.0,0.0,832.0,832.0,854.0,0.0,854.0,5.0,576.0,48.0,112.0,0.0,RM,Reg,Lvl,Corner,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,GasA,Y,FuseA,Typ,Y,WD,Normal,45,Ex,TA,7,8,0,1,0,2,1,0,2,TA,TA,No,Unf,Unf,Detchd,Unf,TA,TA,NoAlley,NoFireplace,1991.0,GdPrv
69.0,11241.0,1970.0,1970.0,180.0,578.0,426.0,1004.0,1004.0,0.0,1004.0,5.0,480.0,0.0,0.0,0.0,RL,IR1,Lvl,CulDSac,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Ex,TA,6,7,1,1,0,2,1,1,2,TA,TA,No,ALQ,Unf,Attchd,Fin,TA,TA,NoAlley,TA,1970.0,NoFence
72.0,10791.0,1967.0,1967.0,0.0,0.0,0.0,0.0,1296.0,0.0,1296.0,6.0,516.0,0.0,0.0,0.0,RL,Reg,Lvl,Inside,Sawyer,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,Slab,GasA,Y,SBrkr,Typ,Y,WD,Normal,90,TA,TA,4,5,0,2,0,2,2,0,2,NoBasement,NoBasement,NoBasement,NoBasement,NoBasement,CarPort,Unf,TA,TA,NoAlley,NoFireplace,1967.0,NoFence
66.0,13695.0,2004.0,2004.0,0.0,646.0,468.0,1114.0,1114.0,0.0,1114.0,6.0,576.0,0.0,102.0,0.0,RL,Reg,Lvl,Inside,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Ex,Gd,5,5,1,1,1,3,1,0,2,TA,TA,No,GLQ,Unf,Detchd,Unf,TA,TA,NoAlley,NoFireplace,2004.0,NoFence
70.0,7560.0,1958.0,1965.0,0.0,504.0,525.0,1029.0,1339.0,0.0,1339.0,6.0,294.0,0.0,0.0,0.0,RL,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,None,TA,TA,CBlock,GasA,Y,SBrkr,Min1,Y,COD,Abnorml,20,TA,TA,5,6,0,1,0,3,1,0,1,TA,TA,No,LwQ,Unf,Attchd,Unf,TA,TA,NoAlley,NoFireplace,1958.0,MnPrv
101.0,14215.0,2005.0,2006.0,380.0,0.0,1158.0,1158.0,1158.0,1218.0,2376.0,9.0,853.0,240.0,154.0,0.0,RL,IR1,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,GasA,Y,SBrkr,Typ,Y,New,Partial,60,Ex,Gd,8,5,0,3,1,4,1,1,3,Ex,TA,Av,Unf,Unf,BuiltIn,RFn,TA,TA,NoAlley,Gd,2005.0,NoFence
57.0,7449.0,1930.0,1950.0,0.0,0.0,637.0,637.0,1108.0,0.0,1108.0,6.0,280.0,0.0,0.0,205.0,RM,Reg,Bnk,Inside,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,GasA,Y,FuseF,Typ,N,WD,Normal,45,Ex,Gd,7,7,0,1,0,3,1,1,1,TA,TA,No,Unf,Unf,Attchd,Unf,TA,TA,Grvl,Gd,1930.0,GdPrv
75.0,9742.0,2002.0,2002.0,281.0,0.0,1777.0,1777.0,1795.0,0.0,1795.0,7.0,534.0,171.0,159.0,0.0,RL,Reg,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Ex,Gd,8,5,0,2,0,3,1,1,2,Gd,TA,No,Unf,Unf,Attchd,RFn,TA,TA,NoAlley,Gd,2002.0,NoFence
44.0,4224.0,1976.0,1976.0,0.0,840.0,200.0,1040.0,1060.0,0.0,1060.0,6.0,572.0,100.0,110.0,0.0,RM,Reg,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,120,TA,TA,5,7,1,1,0,3,1,1,2,Gd,TA,No,GLQ,Unf,Attchd,Unf,TA,TA,NoAlley,TA,1976.0,NoFence
69.0,8246.0,1968.0,2001.0,0.0,188.0,204.0,1060.0,1060.0,0.0,1060.0,6.0,270.0,406.0,90.0,0.0,RL,IR1,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,TA,Gd,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Ex,Gd,5,8,1,1,0,3,1,1,1,TA,TA,Mn,Rec,ALQ,Attchd,Unf,TA,TA,NoAlley,TA,1968.0,MnPrv
110.0,14230.0,2007.0,2007.0,640.0,0.0,1566.0,1566.0,1600.0,0.0,1600.0,7.0,890.0,0.0,56.0,0.0,RL,Reg,Lvl,Corner,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Ex,Gd,8,5,0,2,0,3,1,1,3,Gd,TA,No,Unf,Unf,Attchd,RFn,TA,TA,NoAlley,Gd,2007.0,NoFence
60.0,7200.0,1951.0,2000.0,0.0,234.0,180.0,900.0,900.0,0.0,900.0,5.0,576.0,222.0,32.0,0.0,RL,Reg,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,TA,Gd,5,7,0,1,0,3,1,0,2,TA,TA,Mn,BLQ,Rec,Detchd,Unf,TA,TA,NoAlley,NoFireplace,2005.0,NoFence
98.0,11478.0,2007.0,2008.0,200.0,1218.0,486.0,1704.0,1704.0,0.0,1704.0,7.0,772.0,0.0,50.0,0.0,RL,Reg,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Ex,Gd,8,5,1,2,0,3,1,1,3,Ex,TA,No,GLQ,Unf,Attchd,RFn,TA,TA,NoAlley,Gd,2008.0,NoFence
47.0,16321.0,1957.0,1997.0,0.0,1277.0,207.0,1484.0,1600.0,0.0,1600.0,6.0,319.0,288.0,258.0,0.0,RL,IR1,Lvl,CulDSac,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,TA,TA,5,6,1,1,0,2,1,2,1,TA,TA,Gd,BLQ,Unf,Attchd,RFn,TA,TA,NoAlley,Gd,1957.0,NoFence
60.0,6324.0,1927.0,1950.0,0.0,0.0,520.0,520.0,520.0,0.0,520.0,4.0,240.0,49.0,0.0,87.0,RM,IR1,Lvl,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,GasA,N,SBrkr,Typ,Y,WD,Normal,30,Fa,Fa,4,6,0,1,0,1,1,0,1,TA,TA,No,Unf,Unf,Detchd,Unf,Fa,TA,NoAlley,NoFireplace,1920.0,NoFence
50.0,8500.0,1920.0,1950.0,0.0,0.0,649.0,649.0,649.0,668.0,1317.0,6.0,250.0,0.0,54.0,172.0,C (all),Reg,Lvl,Inside,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,None,TA,Fa,BrkTil,GasA,N,SBrkr,Typ,N,WD,Normal,70,TA,TA,4,4,0,1,0,3,1,0,1,TA,TA,No,Unf,Unf,Detchd,Unf,TA,Fa,Pave,NoFireplace,1920.0,MnPrv
69.0,8544.0,1966.0,2006.0,0.0,0.0,1228.0,1228.0,1228.0,0.0,1228.0,6.0,271.0,0.0,65.0,0.0,RL,IR1,Lvl,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Gd,Gd,5,6,0,1,1,3,1,0,1,TA,TA,No,Unf,Unf,Attchd,Unf,TA,TA,NoAlley,NoFireplace,1966.0,MnPrv
85.0,11049.0,2007.0,2007.0,0.0,0.0,1234.0,1234.0,1234.0,0.0,1234.0,7.0,484.0,0.0,30.0,0.0,RL,Reg,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Ex,Gd,8,5,0,2,0,3,1,0,2,Ex,TA,Av,Unf,Unf,Attchd,RFn,TA,TA,NoAlley,NoFireplace,2007.0,NoFence
70.0,10552.0,1959.0,1959.0,0.0,1018.0,380.0,1398.0,1700.0,0.0,1700.0,6.0,447.0,0.0,38.0,0.0,RL,IR1,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Gd,Gd,5,5,0,1,1,4,1,1,2,TA,TA,No,Rec,Unf,Attchd,RFn,TA,TA,NoAlley,Gd,1959.0,NoFence
60.0,7313.0,2005.0,2005.0,246.0,1153.0,408.0,1561.0,1561.0,0.0,1561.0,6.0,556.0,203.0,47.0,0.0,RL,Reg,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,120,Ex,Ex,9,5,1,2,0,2,1,1,2,Ex,TA,No,GLQ,Unf,Attchd,Fin,TA,TA,NoAlley,Gd,2005.0,NoFence
108.0,13418.0,2004.0,2005.0,132.0,0.0,1117.0,1117.0,1132.0,1320.0,2452.0,9.0,691.0,113.0,32.0,0.0,RL,Reg,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,60,Ex,Gd,8,5,0,3,1,4,1,1,3,Ex,TA,Av,Unf,Unf,BuiltIn,Fin,TA,TA,NoAlley,Gd,2004.0,NoFence
112.0,10859.0,1994.0,1995.0,0.0,0.0,1097.0,1097.0,1097.0,0.0,1097.0,6.0,672.0,392.0,64.0,0.0,RL,Reg,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Ex,TA,5,5,0,1,1,3,1,0,2,Gd,TA,No,Unf,Unf,Attchd,Unf,TA,TA,NoAlley,NoFireplace,1995.0,NoFence
74.0,8532.0,1954.0,1990.0,650.0,1213.0,84.0,1297.0,1297.0,0.0,1297.0,5.0,498.0,0.0,0.0,0.0,RL,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Gd,TA,5,6,0,1,0,3,1,1,2,TA,TA,No,Rec,Unf,Attchd,Fin,TA,TA,NoAlley,TA,1954.0,NoFence
68.0,7922.0,1953.0,2007.0,0.0,731.0,326.0,1057.0,1057.0,0.0,1057.0,5.0,246.0,0.0,52.0,0.0,RL,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Abnorml,20,TA,Gd,5,7,1,1,0,3,1,0,1,TA,TA,No,GLQ,Unf,Detchd,Unf,TA,TA,NoAlley,NoFireplace,1953.0,NoFence
65.0,6040.0,1955.0,1955.0,0.0,0.0,0.0,0.0,1152.0,0.0,1152.0,6.0,0.0,0.0,0.0,0.0,RL,Reg,Lvl,Inside,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,None,TA,TA,PConc,GasA,N,FuseP,Typ,N,WD,AdjLand,90,TA,Fa,4,5,0,2,0,2,2,0,0,NoBasement,NoBasement,NoBasement,NoBasement,NoBasement,NoGarage,NoGarage,NoGarage,NoGarage,NoAlley,NoFireplace,0.0,NoFence
84.0,8658.0,1965.0,1965.0,101.0,643.0,445.0,1088.0,1324.0,0.0,1324.0,6.0,440.0,0.0,138.0,0.0,RL,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Abnorml,20,Ex,TA,6,5,0,2,0,3,1,1,2,TA,TA,No,Rec,Unf,Attchd,RFn,TA,TA,NoAlley,TA,1965.0,GdWo
115.0,16905.0,1959.0,1959.0,0.0,967.0,383.0,1350.0,1328.0,0.0,1328.0,5.0,308.0,0.0,104.0,0.0,RL,Reg,Lvl,Inside,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,GasA,Y,SBrkr,Typ,P,WD,Normal,20,Gd,TA,5,6,0,1,1,2,1,2,1,TA,TA,Gd,BLQ,Unf,Attchd,RFn,TA,TA,NoAlley,Gd,1959.0,NoFence
69.0,9180.0,1983.0,1983.0,0.0,747.0,0.0,840.0,884.0,0.0,884.0,5.0,504.0,240.0,0.0,0.0,RL,IR1,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,85,Gd,Gd,5,7,1,1,0,2,1,0,2,Gd,TA,Av,ALQ,LwQ,Attchd,RFn,TA,Gd,NoAlley,NoFireplace,1983.0,MnPrv
69.0,9200.0,1975.0,1980.0,0.0,280.0,167.0,938.0,938.0,0.0,938.0,5.0,308.0,145.0,0.0,0.0,RL,IR1,Lvl,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,TA,TA,5,6,1,1,0,3,1,0,1,Gd,TA,Av,LwQ,BLQ,Detchd,Unf,TA,TA,NoAlley,NoFireplace,1977.0,MnPrv
70.0,7945.0,1959.0,1959.0,0.0,179.0,465.0,1150.0,1150.0,0.0,1150.0,6.0,300.0,0.0,0.0,0.0,RL,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,CBlock,GasA,Y,FuseA,Typ,Y,WD,Normal,20,Ex,TA,5,6,1,1,0,3,1,0,1,TA,TA,No,ALQ,BLQ,Attchd,RFn,TA,TA,NoAlley,NoFireplace,1959.0,NoFence
61.0,7658.0,2005.0,2005.0,412.0,456.0,1296.0,1752.0,1752.0,0.0,1752.0,6.0,576.0,196.0,82.0,0.0,RL,Reg,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,120,Ex,Ex,9,5,1,2,0,2,1,1,2,Ex,TA,No,GLQ,Unf,Attchd,RFn,TA,TA,NoAlley,Gd,2005.0,NoFence
48.0,12822.0,2003.0,2003.0,0.0,1351.0,83.0,1434.0,1518.0,631.0,2149.0,6.0,670.0,168.0,43.0,0.0,RL,IR1,Lvl,CulDSac,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Abnorml,50,Ex,Gd,7,5,1,1,1,1,1,1,2,Ex,TA,No,GLQ,Unf,Attchd,RFn,TA,TA,NoAlley,Ex,2003.0,NoFence
84.0,11096.0,2006.0,2006.0,0.0,24.0,1632.0,1656.0,1656.0,0.0,1656.0,7.0,826.0,0.0,146.0,0.0,FV,Reg,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Ex,Gd,8,5,0,2,0,3,1,0,3,Gd,TA,Av,GLQ,Unf,Attchd,RFn,TA,TA,NoAlley,NoFireplace,2006.0,NoFence
33.0,4456.0,1920.0,2008.0,0.0,0.0,736.0,736.0,736.0,716.0,1452.0,8.0,0.0,0.0,0.0,102.0,RM,Reg,Lvl,Inside,OldTown,Norm,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,GasA,Y,SBrkr,Typ,N,New,Partial,190,Gd,TA,4,5,0,2,0,2,3,0,0,TA,TA,No,Unf,Unf,NoGarage,NoGarage,NoGarage,NoGarage,NoAlley,NoFireplace,0.0,NoFence
66.0,7742.0,1966.0,1966.0,0.0,763.0,192.0,955.0,955.0,0.0,955.0,6.0,386.0,0.0,0.0,0.0,RL,Reg,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Ex,TA,5,7,1,1,0,3,1,0,1,TA,TA,No,BLQ,Unf,Attchd,Unf,TA,TA,NoAlley,NoFireplace,1966.0,MnPrv
69.0,13869.0,1997.0,1997.0,0.0,182.0,612.0,794.0,794.0,676.0,1470.0,6.0,388.0,0.0,75.0,0.0,RL,IR2,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,60,Gd,TA,6,6,0,2,0,3,1,0,2,Gd,TA,Av,GLQ,Unf,Attchd,Fin,TA,TA,NoAlley,NoFireplace,1997.0,NoFence
